Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Antigua and Barbuda,ATG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,4429.542553,4595.403557,4952.920447,5363.423026,5596.686433,5639.685783,6009.302732,6705.702548,7315.816623,8272.024358,8945.483755,9522.294178,10087.26515,10380.30783,10509.99224,10457.71409,10772.02187,11205.82219,10440.70689,10834.62877,11117.09478,11335.12856,11470.9865,11981.91626,11191.1024,11147.26339,11683.46234,12218.74467,12857.16416,14325.48099,15466.95277,15278.87405,13270.6971,12174.69786,11789.79908,12069.81138,11928.21847,12403.52822,12771.76758,13315.50863,
Australia,AUS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,19306.55297,19394.61617,19178.09101,19982.69053,20961.1859,21783.24868,21794.99258,22876.99344,23621.37946,24763.08289,26020.20794,26162.39444,26690.66004,26968.95994,27372.12391,27397.55687,27827.00124,28507.90191,28431.41484,29266.60066,29794.53846,30309.76097,30797.99639,29736.69863,30763.44586,31938.6162,32707.6722,33044.57542,34386.25336,35121.21269,35827.09672,35240.58254,34967.51772,36033.63588,37098.79878,38078.90395,39065.92438,40156.33525,41504.4959,43087.44672,44223.59124,44473.40861,45626.62203,46449.84519,47817.89923,48702.73469,49418.68632,50952.46704,51788.44015,51651.22326,51874.08048,52372.15454,53315.02992,53732.00397,54293.7942,54800.3664,55478.57729,
Austria,AUT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,13031.03159,13677.46421,13953.95,14438.35666,15220.81972,15648.5267,16416.0054,16783.88969,17443.70498,18474.54001,19598.93163,20509.68276,21656.66245,22590.26079,23440.86839,23417.65481,24533.12432,25769.50739,25736.05077,27160.91379,27631.17178,27521.02831,28054.41919,28935.22361,28951.88265,29661.36755,30324.71493,30716.82722,31684.3295,32767.96581,33932.39114,34751.51434,35090.72121,34985.88625,35688.66932,36584.78068,37411.65144,38193.28185,39509.57304,40848.40854,42122.936,42528.70141,43020.73989,43135.40424,44028.52956,44665.70891,45934.5352,47444.02151,48027.52407,46082.05075,46858.04327,48065.31671,48172.2377,47903.89625,47949.16355,47958.42522,48106.49447,
Azerbaijan,AZE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3118.546587,3049.015995,2324.452977,1760.554651,1394.744209,1216.077917,1219.509349,1277.854124,1392.361194,1482.329773,1633.394435,1781.246395,1955.41315,2158.007171,2357.396026,2949.442818,3923.658154,4851.176909,5262.101356,5639.001689,5842.805784,5770.969703,5820.079847,6078.320649,6122.980489,6117.030862,5861.511962,
Burundi,BDI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,214.1369545,181.2176775,193.9532398,198.1222216,206.289436,209.8035062,214.2711365,237.7556026,231.1709214,222.7248131,265.22918,268.6442076,248.6977905,263.2720844,258.4625885,256.5158152,271.8429572,296.556107,286.8181825,284.3611899,279.9589655,306.1015235,295.1747803,298.2041699,290.6602188,315.8728507,316.7423052,324.3796392,330.8669221,326.1822839,329.157781,337.7083512,333.9432189,307.123481,290.3198178,263.2708504,239.0396327,232.5068723,240.6275982,234.68485,228.2475687,227.428111,230.9961542,221.2274825,224.5155532,219.1865502,223.4035903,226.3044415,229.8347014,230.0531709,231.1943256,233.518126,235.7052879,239.3310654,243.1019118,226.5280582,218.2835284,
Belgium,BEL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,13193.31494,13804.19935,14465.97743,14983.04261,15874.40469,16291.01966,16692.01699,17241.44737,17894.0438,19026.42965,20070.54797,20832.52408,21850.00287,23171.37936,24153.09916,23609.9371,24900.01711,25025.00988,25712.19412,26290.49418,27428.61189,27352.7296,27522.95363,27610.97542,28292.3926,28751.1591,29264.78991,29914.31547,31227.79175,32193.97931,33105.15524,33586.95831,33962.98639,33505.1655,34479.93755,35228.34192,35719.81023,36955.6362,37605.22806,38856.0635,40170.41893,40357.37076,40892.21772,41036.79826,42344.69483,42994.36365,43782.13955,44960.79786,44956.36733,43591.27188,44380.17663,44556.03681,44337.57677,44209.74335,44702.31689,45068.25428,45469.71083,
Benin,BEN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,520.40418,529.2973386,503.5990841,519.130656,544.4277629,563.1464387,572.453223,567.3836287,577.3054949,581.6103742,581.235119,560.1801106,583.0562431,591.0505322,596.6577082,553.9366482,545.1435766,557.932227,550.4265035,571.0725113,593.6195624,635.1174935,631.5271359,587.287626,616.0375005,643.5874763,638.7490428,611.0281364,613.2311803,577.5398833,609.3456238,614.0052941,610.5509018,623.9536552,615.1204456,631.1712235,638.0763307,654.5428116,660.6317814,675.6774816,694.2437489,709.4693622,720.168277,722.6671953,732.3354225,723.1999594,730.2752556,752.2152147,767.0573788,763.1050141,757.6959074,758.5775214,773.1370262,805.9449407,833.6624874,827.8459673,837.3419564,
Burkina Faso,BFA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,238.8545624,245.1985827,256.7771744,250.117852,252.2618318,257.9150775,255.2815312,273.3002182,276.9742042,277.7740911,273.3315155,272.4104604,273.8369546,270.1828957,287.2645617,290.3731086,309.1538507,304.2422268,311.8341788,316.4377466,311.8915691,317.6075453,339.5632919,332.2601799,318.1024319,336.4115864,353.888019,343.970455,354.4889765,352.6778596,341.3526172,362.47892,353.668786,356.1288634,351.1044587,361.121422,389.9654459,403.2169436,420.7234544,439.2997264,434.7633304,450.4522807,456.7341349,478.3043523,485.3074043,511.9675905,527.9623495,541.268695,563.4470651,562.8419354,575.4464527,595.3932481,615.0970843,631.6121844,639.7095507,645.3698435,663.906712,
Bangladesh,BGD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,370.5941716,382.0047722,391.4891838,378.5599524,407.6331236,401.533416,398.7081568,378.4483267,401.1804457,394.3095963,406.0307092,375.826581,317.7006037,323.0395869,347.9806292,327.1009505,337.602686,337.7132941,351.7077109,358.3477904,351.3761042,366.6663074,364.5382182,368.694026,376.2076611,378.487458,383.8124797,387.7558742,386.7755991,387.6728688,399.4839409,403.753799,416.1805241,426.3094413,433.4123441,445.9189173,456.2377101,466.7725442,480.8688331,493.2552199,509.2934347,525.0721107,535.2467234,550.8628057,570.336736,598.6174259,630.04818,666.4014472,698.564892,725.76626,757.6717572,797.4116804,839.5136872,879.5819661,922.161128,971.641988,1029.578212,
Bulgaria,BGR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,3223.80921,3370.529417,3439.028489,3548.132386,3660.069128,3758.340279,3917.515057,4148.59409,4597.475739,4498.552281,4162.815983,3849.186559,3607.793915,3582.856356,3660.402221,3781.903745,3862.281869,3843.122525,4004.263409,3800.874142,4011.09584,4265.560262,4621.504868,4894.781886,5255.179179,5678.047944,6107.706804,6625.028733,6914.398897,6709.527763,6843.263289,7019.178015,7062.137117,7162.994824,7299.552445,7612.024948,7967.708702,
Bahrain,BHR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,21184.98284,19295.58522,17290.81807,17906.01635,18304.5727,16926.37474,16571.42667,17663.46571,18240.56619,17702.37559,17934.74305,19407.44365,20178.46516,22217.91332,21623.01568,21910.23988,22220.68291,22281.79511,22634.88847,22760.98699,22955.09349,22416.08185,22038.3312,22058.76333,22144.47339,22066.07113,21796.01514,21838.07457,21563.65067,20797.00522,20722.10389,20514.75639,20921.19971,21799.65217,22390.68285,22436.20753,,
"Bahamas, The",BHS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,13895.47356,14632.26375,15364.10725,16147.53902,16993.81322,17913.89351,18696.41303,19652.66412,20499.38984,21576.02241,19743.2904,19544.06189,18438.86962,19435.45621,15863.56386,13244.57173,13641.00402,14571.87907,16274.64652,20078.45801,20912.75556,18565.95545,19370.89384,19629.9391,21941.30625,22543.00428,22521.6356,22787.65679,22919.79838,24046.95056,23248.89367,21868.8773,20635.69851,20315.17827,20595.63138,21170.95313,21782.09916,21984.94658,22776.60968,24111.85775,24748.30797,24958.65497,25134.38113,24298.62379,23997.84777,24305.99067,24429.44575,24312.40063,23314.99417,21951.14664,21921.55906,21710.58999,22050.20215,21622.86559,21078.68047,20184.73569,19991.09223,
Bosnia and Herzegovina,BIH,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698.5642943,866.9406721,1665.595366,2255.057369,2608.198841,2852.021041,3002.820841,3131.139402,3293.140249,3421.748431,3628.51644,3946.056679,4160.563103,4405.285059,4664.091803,4545.227666,4614.829041,4700.887837,4714.115406,4882.757006,4992.90538,5190.098758,5377.837212,
Belarus,BLR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3102.462776,3063.729773,2763.647398,2547.873988,2252.412535,2024.694821,2088.351545,2336.311554,2544.634717,2642.24242,2808.693996,2956.540618,3125.538912,3369.172108,3780.636232,4164.361949,4608.932241,5028.319883,5560.381904,5583.938524,6029.3968,6375.345039,6491.673382,6557.106572,6664.097249,6398.689735,6221.372593,
Belize,BLZ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1072.466343,1093.586874,1115.512608,1138.307246,1161.533928,1183.773804,1203.636776,1225.290455,1277.372491,1306.575402,1336.653555,1360.503922,1471.727423,1524.781884,1704.996701,1740.368793,1715.484942,1802.367485,1917.470948,2027.467587,2288.800689,2264.752224,2199.697144,2093.643567,2074.396431,2038.381001,2073.204865,2242.876243,2385.633385,2632.627454,2849.034593,3089.23044,3404.206807,3557.477256,3491.400762,3424.086115,3363.896311,3358.510525,3352.854539,3513.855276,3838.892488,3910.187257,3997.120685,4257.487388,4343.17724,4342.128891,4424.437379,4358.469001,4385.175932,4307.221118,4344.150177,4333.361776,4398.764418,4359.714189,4415.987094,4446.79339,4328.020738,
Bermuda,BMU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,27838.39304,28436.71658,29006.57984,28640.87802,31041.95,31740.63552,35659.16125,39616.14199,39686.95535,40290.56883,42055.03047,43819.35839,44942.91915,45948.83383,46699.09897,48824.50177,52988.74551,55903.55906,56504.09149,57503.21894,61083.45095,62106.1318,58400.28398,59061.16971,58826.95497,57167.10189,60463.90879,62224.89178,64196.23243,63939.81157,63429.27677,61503.63836,61913.77723,63435.47315,63374.76685,65690.96417,66969.93314,69624.43634,71810.38407,73825.18485,79988.35001,84844.73838,83048.80311,85321.24327,86733.37007,87616.38597,91944.87381,94029.60803,94903.19153,89391.21118,88207.32756,86001.17117,81547.85524,79251.78166,,,,
Bolivia,BOL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1304.698762,1306.590629,1353.033192,1412.202022,1451.186017,1502.791345,1568.799402,1643.754978,1414.698631,1428.913478,1392.752071,1433.115409,1515.189991,1568.618475,1580.584762,1659.881104,1698.973726,1744.639778,1741.635394,1706.075285,1646.411228,1615.677734,1519.169845,1427.243352,1394.996155,1343.775859,1283.090638,1288.904716,1300.642031,1323.78299,1358.241084,1401.908352,1397.179933,1428.365724,1465.804043,1504.396784,1539.344885,1584.117204,1631.574918,1607.210081,1616.539178,1613.410816,1623.518794,1637.808504,1676.22796,1720.099019,1771.946877,1821.795495,1901.899802,1933.740102,1981.160705,2051.152292,2122.384564,2231.477241,2317.257186,2392.983973,2457.625962,
Brazil,BRA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3424.997089,3668.024485,3747.386263,3670.826297,3690.448686,3697.039012,3745.522529,3824.754313,4150.485267,4438.027725,4706.126393,5108.945626,5586.683824,6216.130816,6617.88359,6798.096714,7287.519095,7443.898645,7504.29602,7824.864356,8339.269119,7788.333546,7653.559562,7225.538359,7439.110811,7860.015578,8314.878921,8445.036995,8276.542522,8391.192292,7986.045873,7966.796468,7796.841831,8027.189384,8319.209024,8547.94116,8598.014959,8750.274058,8644.420843,8554.834439,8778.188141,8776.863719,8924.333528,8910.855624,9309.008195,9495.104939,9761.876402,10245.23081,10658.22531,10540.10877,11224.15408,11559.21227,11671.18294,11912.14676,11866.38892,11322.14668,10826.27143,
Barbados,BRB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13830.01191,13244.80796,12446.54903,12502.96485,12708.29427,12919.2229,13381.9875,13963.64969,14431.62168,14426.31791,15017.0768,14616.18171,14688.78136,14964.71605,15128.94586,15676.10919,16502.69007,16726.27987,16721.7331,15979.68093,15959.02979,15972.76764,15961.70182,15910.93486,15864.6198,15961.20015,16242.76997,
Brunei Darussalam,BRN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,45621.36146,43925.2391,50722.60813,54151.70302,55752.53855,66001.5809,59391.95115,46156.22482,46575.77808,45483.63118,44479.35391,42589.6833,40274.33884,39933.75513,39243.01702,37732.37517,37071.7353,37162.5406,37838.32056,36904.47506,37043.18167,37703.79173,37833.36477,36400.03739,35382.14265,35672.33991,35923.40183,36162.97793,36832.26623,37202.35794,36752.04732,36325.12073,37401.05316,36997.80726,35860.38878,34812.71469,35268.10117,36092.09698,35899.03737,34618.97291,33313.83278,32661.85702,31430.96259,
Bhutan,BTN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,403.6577262,447.5384197,451.3607718,490.1359042,498.7035029,504.736547,545.5256892,677.5411984,688.1799795,721.2264193,789.2173342,785.9924537,831.0630503,861.1939215,915.4099031,983.2624759,1029.177663,1065.056766,1100.16152,1155.209758,1201.105785,1263.967767,1360.792252,1425.055174,1469.37315,1534.820745,1601.915802,1848.566255,1898.052794,1986.135618,2178.921383,2310.003655,2387.005674,2399.918916,2500.260145,2628.189614,2801.27524,
Botswana,BWA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,390.8297253,405.7986383,422.1720329,435.6898931,453.0789745,466.2621796,481.7858538,495.3852821,531.2139248,592.6713865,672.2273586,818.6845682,1000.809264,1173.45171,1232.455008,1288.411511,1372.390634,1478.521062,1625.449451,1753.756065,1891.409668,1988.884843,2153.104039,2353.797267,2471.157109,2563.033524,2687.317883,2917.436047,3384.480863,3718.485689,3860.008603,4034.260864,4040.426673,4010.787152,4053.436042,4237.567299,4386.851537,4641.80548,4585.739928,4939.598056,4954.77429,4891.914844,5115.899886,5280.215175,5349.002024,5512.811229,5883.899059,6270.47408,6552.776641,5948.853248,6346.156204,6610.331922,6779.393897,7409.421155,7574.282097,7308.611508,7483.173152,
Central African Republic,CAF,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,601.8524935,621.0420386,587.4392459,572.5814943,573.3735078,567.4621068,559.5647762,573.5600641,569.4397794,597.2743938,599.0124017,594.1226076,582.9502232,582.7611618,607.569031,597.3743562,616.0744445,624.962672,617.3692943,586.862677,545.5195985,521.7659292,545.2839645,486.0433304,517.0578228,523.4048094,529.5184735,492.721522,490.990353,490.166814,468.6906735,454.5290783,414.1761251,404.4069491,412.9996415,431.4986709,404.2249521,415.7873116,425.6396801,431.4725411,411.9381743,421.6591988,428.4772286,397.8113269,414.030231,410.4148361,422.4386822,434.2504725,436.0737159,437.6013836,446.4434494,458.3327733,475.6673875,300.4795817,302.5463692,314.9265174,325.7202918,
Canada,CAN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,17664.2048,17861.9356,18780.56413,19389.15562,20301.65991,21260.63153,22242.41871,22482.64971,23294.30239,24188.42626,24629.21556,25262.44135,26216.59128,27571.29253,28080.94072,28057.04789,29128.01409,29783.26792,30651.63255,31502.0443,31769.78349,32477.29554,31060.645,31549.8017,33099.37445,34345.61396,34737.27532,35689.03422,36791.75964,36981.27877,36489.26635,35231.02121,35108.51904,35648.47799,36893.98189,37569.46824,37765.73245,38967.9531,40131.70183,41856.04559,43638.28315,43964.95459,44883.8284,45239.81139,46170.9202,47181.56239,48035.03579,48552.69643,48510.56777,46543.7922,47447.47602,48456.96457,48724.2458,49359.42247,50221.84198,50303.83685,50407.34133,
Central Europe and the Baltics,CEB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7153.457628,6483.2582,6385.78417,6481.695186,6752.844112,7149.771835,7486.363579,7723.191386,7948.377181,8121.361747,8504.01494,8813.506483,9178.813221,9616.690256,10182.06566,10714.0486,11446.38455,12224.97725,12722.04418,12279.48399,12567.12831,13001.09071,13104.87075,13307.03461,13729.44096,14284.27118,14754.55497,
Switzerland,CHE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,54891.43471,55466.16352,54420.97193,54534.42609,55973.70111,57774.34434,58542.71181,59098.51838,60588.59717,62703.5288,64343.51842,62962.39135,62244.79697,61602.79012,61889.66595,61773.0963,61833.00711,63127.73967,64822.29415,65607.20926,67807.92681,68264.52626,67860.24483,67385.29767,68781.61259,70471.43852,72823.83726,75143.70222,75793.63304,73189.19255,74605.72102,75029.75782,74984.13712,75499.70674,76410.85666,76472.45949,76691.11684,
Channel Islands,CHI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3806.805729,3918.367037,3986.723236,4127.318878,4140.772497,4089.777077,4451.644575,4514.600589,4579.300856,4663.498273,4656.624327,5000.595728,4861.116667,4537.195933,4568.018745,3913.965055,4000.222991,4350.496587,4615.077416,4928.700804,5242.330136,5499.995724,4819.762115,4507.427992,4618.747802,4726.905668,4899.421795,5128.959203,5413.325325,5851.483445,5947.764828,6309.457648,6904.330444,7247.053536,7498.852089,8051.48659,8479.875279,8987.619522,9254.794789,9100.999171,9469.110468,9666.476055,9852.833928,10141.73198,10754.3066,11249.8679,11833.95202,12285.04838,12588.69122,12268.44115,12860.17764,13518.76508,14109.14333,14551.04442,14701.95389,14907.11639,15019.63297,
China,CHN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,191.7911799,140.9134992,131.9633715,142.0219554,163.9913252,187.2746316,201.523242,185.0759275,172.9137524,196.7401269,228.3177028,237.8138384,240.8818889,253.714373,254.2674847,271.5994765,263.2306221,279.3245468,307.7661947,326.7683692,347.887413,361.2247106,387.7455809,423.5934988,481.3645958,538.6908273,578.1840404,635.494603,695.5990544,713.6895276,730.772489,787.8674352,888.9110041,1000.61181,1118.499577,1227.556407,1335.36268,1443.774742,1542.06413,1645.987996,1771.741506,1905.61078,2065.718579,2258.912105,2472.586556,2738.20546,3069.304781,3487.845766,3805.025999,4142.038286,4560.512586,4971.544929,5336.060143,5721.693819,6108.238775,6496.624013,6893.776361,
Cote d'Ivoire,CIV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1205.260633,1276.476506,1242.732983,1367.323656,1545.873271,1441.024824,1548.586572,1560.951528,1692.163582,1782.177394,1886.621571,1975.73434,1966.848277,1987.834399,1978.003725,2042.967189,2202.090993,2256.93426,2391.923882,2341.661088,1994.715108,1976.282534,1896.960782,1747.939797,1632.645664,1639.958735,1629.995668,1565.437829,1527.156122,1517.069636,1448.033637,1398.22024,1346.798073,1298.844189,1266.531597,1314.119941,1372.790201,1382.621588,1410.738393,1396.999554,1336.42961,1310.286472,1264.222306,1224.968341,1218.12035,1216.208471,1210.668211,1207.087189,1211.623843,1223.510617,1219.749096,1138.664957,1229.7782,1305.709227,1384.910349,1469.730178,1552.77042,
Cameroon,CMR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,956.456041,947.8252378,955.9103779,970.0550609,982.0522476,979.1422767,1000.55475,870.27322,903.1805443,924.1843794,928.9599978,936.8702762,937.0888773,961.3555834,1036.101478,1121.252352,1030.335836,1139.00371,1350.002998,1390.011368,1322.608358,1502.407734,1566.731923,1623.54003,1691.651812,1772.07232,1833.989945,1739.593126,1554.722004,1480.756852,1349.632654,1261.039357,1187.658532,1063.461498,1056.98901,1065.119526,1083.284822,1111.55138,1132.952026,1152.354548,1163.43141,1183.43807,1201.912083,1224.161026,1272.851204,1264.1544,1272.882674,1299.290928,1308.235499,1300.84144,1309.122208,1326.646015,1349.951713,1385.235437,1428.215673,1469.637741,1495.443362,
"Congo, Dem. Rep.",COD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,988.9815717,859.7042657,1015.756091,1041.407581,989.4293211,972.4904887,1009.779659,971.7359215,985.1603349,1046.859398,1015.536367,1047.572185,1021.472473,1075.609355,1079.824539,998.1929132,918.8496922,899.5521607,827.3416093,808.0007124,803.944318,802.0870181,778.8895849,770.7660552,793.4574346,776.8432976,792.2173895,791.6405961,772.9495694,739.8737125,668.3274082,589.8889339,507.7164036,422.5040433,391.5077172,381.7178222,367.4346328,338.4118082,325.4139587,304.336648,276.2166828,263.0512686,262.9727975,269.2437809,278.4767862,286.291577,291.9714365,300.2918288,308.6528084,307.1091634,318.0757516,328.7505692,340.7140235,357.393232,378.4666251,391.5051923,387.9707573,
"Congo, Rep.",COG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1429.997975,1510.258195,1547.83496,1446.477873,1461.712349,1474.627347,1454.059022,1444.128307,1511.09974,1579.014679,1630.607647,1704.778394,1795.679007,1884.338925,1971.463565,2060.642914,2018.708096,1785.019036,1844.328114,1967.484937,2248.057015,2567.763368,3081.766056,3168.048773,3292.426553,3162.20222,2864.09216,2791.563191,2764.417295,2760.264507,2713.101285,2703.519005,2699.573097,2600.989475,2391.310326,2418.426747,2452.138075,2368.340133,2387.561298,2260.729824,2364.612918,2387.848636,2430.285145,2383.359123,2395.819621,2503.312055,2573.509881,2447.511634,2496.502308,2595.748499,2737.34233,2751.91068,2782.111882,2806.347432,2922.973185,2925.527748,2798.066097,
